testId,graphId,strength,approach,coverageCriteria,experimentRepeatId,time,size,seedSize,noOfNodes,noOfEdges,noOfEntities,noOfEntitiesCoveredBySeed
1,135,3,generate-and-cover,t_cover,1,56.0150299072,18,0,114,161,52,0
2,135,3,generate-and-cover,t*_cover,1,3777.4393611,78,32,114,161,16020,15661
3,135,3,generate-and-cover,t_order,1,7879.83661699,101,0,114,161,15971,0
4,135,3,generate-and-cover,t+_cover,1,3612.9087441,74,27,114,161,15968,15541
5,135,3,cover-and-generate,t_cover,1,27.6560270786,7,4,114,161,52,42
6,135,3,cover-and-generate,t_cover,2,27.7493879795,7,4,114,161,52,42
7,135,3,cover-and-generate,t_cover,3,42.154031992,7,4,114,161,52,43
8,135,3,cover-and-generate,t_cover,4,28.828261137,7,4,114,161,52,42
9,135,3,cover-and-generate,t_cover,5,46.2067089081,7,4,114,161,52,43
10,135,3,cover-and-generate,t*_cover,1,1386.45496392,35,13,114,161,16020,15464
11,135,3,cover-and-generate,t*_cover,2,1528.20871305,34,14,114,161,16020,15497
12,135,3,cover-and-generate,t*_cover,3,2054.14466,33,13,114,161,16020,15469
13,135,3,cover-and-generate,t*_cover,4,1473.98801994,34,13,114,161,16020,15413
14,135,3,cover-and-generate,t*_cover,5,2398.18256593,34,13,114,161,16020,15371
15,135,3,cover-and-generate,t_order,1,468.499907017,34,13,114,161,15971,15530
16,135,3,cover-and-generate,t_order,2,436.257359028,33,13,114,161,15971,15569
17,135,3,cover-and-generate,t_order,3,462.65576005,33,12,114,161,15971,15365
18,135,3,cover-and-generate,t_order,4,534.967182159,32,12,114,161,15971,15370
19,135,3,cover-and-generate,t_order,5,710.144809008,32,12,114,161,15971,15455
20,135,3,cover-and-generate,t+_cover,1,1220.12044811,30,13,114,161,15968,15461
21,135,3,cover-and-generate,t+_cover,2,1363.72615886,35,13,114,161,15968,15342
22,135,3,cover-and-generate,t+_cover,3,1391.76397109,33,14,114,161,15968,15503
23,135,3,cover-and-generate,t+_cover,4,1482.88220596,33,13,114,161,15968,15437
24,135,3,cover-and-generate,t+_cover,5,1360.19977689,34,13,114,161,15968,15466
25,163,3,generate-and-cover,t_cover,1,1122.43854809,92,0,780,1126,193,0
26,163,3,cover-and-generate,t_cover,1,590.89602685,32,15,780,1126,193,127
27,163,3,cover-and-generate,t_cover,2,636.727362871,33,15,780,1126,193,123
28,163,3,cover-and-generate,t_cover,3,601.710330963,35,15,780,1126,193,123
29,163,3,cover-and-generate,t_cover,4,645.463678122,33,15,780,1126,193,122
30,163,3,cover-and-generate,t_cover,5,598.087037086,32,15,780,1126,193,125
31,163,3,cover-and-generate,t*_cover,1,28724.9777901,368,76,780,1126,68598,58356
32,163,3,cover-and-generate,t_order,1,17377.726923,345,70,780,1126,68425,59351
33,163,3,cover-and-generate,t_order,2,18047.090723,346,70,780,1126,68425,59308
34,163,3,cover-and-generate,t_order,3,18906.577673,343,71,780,1126,68425,58838
35,163,3,cover-and-generate,t_order,4,17732.382895,354,71,780,1126,68425,58615
36,163,3,cover-and-generate,t_order,5,19803.8782659,351,73,780,1126,68425,59210
37,163,3,cover-and-generate,t+_cover,1,20724.0002739,349,70,780,1126,68405,58975
38,163,3,cover-and-generate,t+_cover,2,17477.3020539,350,72,780,1126,68405,59244
39,41,3,generate-and-cover,t_cover,1,52.076048851,18,0,87,131,57,0
40,41,3,generate-and-cover,t*_cover,1,2958.01319003,86,35,87,131,4116,3804
41,41,3,generate-and-cover,t_order,1,2700.64366412,69,0,87,131,4065,0
42,41,3,generate-and-cover,t_order,2,2700.64366412,69,0,87,131,4065,0
43,41,3,generate-and-cover,t+_cover,1,2312.96929002,81,25,87,131,4059,3743
44,41,3,cover-and-generate,t_cover,1,52.8278038502,9,4,87,131,57,42
45,41,3,cover-and-generate,t_cover,2,47.1086189747,9,5,87,131,57,46
46,41,3,cover-and-generate,t_cover,3,51.7065889835,8,4,87,131,57,41
47,41,3,cover-and-generate,t_cover,4,52.2606868744,8,4,87,131,57,43
48,41,3,cover-and-generate,t_cover,5,52.7075738907,9,4,87,131,57,41
49,41,3,cover-and-generate,t*_cover,1,819.763812065,22,8,87,131,4116,3485
50,41,3,cover-and-generate,t*_cover,2,835.285923958,23,8,87,131,4116,3578
51,41,3,cover-and-generate,t*_cover,3,703.163164854,21,6,87,131,4116,3448
52,41,3,cover-and-generate,t*_cover,4,791.004230976,21,7,87,131,4116,3304
53,41,3,cover-and-generate,t*_cover,5,885.864489079,23,8,87,131,4116,3432
54,41,3,cover-and-generate,t_order,1,248.682568073,16,6,87,131,4065,3489
55,41,3,cover-and-generate,t_order,2,283.025738955,19,6,87,131,4065,3511
56,41,3,cover-and-generate,t_order,3,256.637080908,17,6,87,131,4065,3514
57,41,3,cover-and-generate,t_order,4,260.045077085,18,6,87,131,4065,3399
58,41,3,cover-and-generate,t_order,5,300.061658144,17,6,87,131,4065,3538
59,41,3,cover-and-generate,t+_cover,1,410.399646044,18,6,87,131,4059,3659
60,41,3,cover-and-generate,t+_cover,2,607.130103827,17,6,87,131,4059,3519
61,41,3,cover-and-generate,t+_cover,3,580.778741121,16,5,87,131,4059,3544
62,41,3,cover-and-generate,t+_cover,4,419.517305851,18,6,87,131,4059,3530
63,41,3,cover-and-generate,t+_cover,5,614.396331072,16,6,87,131,4059,3480
64,75,3,generate-and-cover,t_cover,1,1408.4743681,90,0,2748,4029,229,0
65,75,3,cover-and-generate,t_cover,1,858.823324203,36,17,2748,4029,229,159
66,75,3,cover-and-generate,t_cover,2,993.777437925,40,17,2748,4029,229,156
67,75,3,cover-and-generate,t_cover,3,1012.07803798,40,17,2748,4029,229,151
68,75,3,cover-and-generate,t_cover,4,1047.91661,40,17,2748,4029,229,151
69,75,3,cover-and-generate,t_cover,5,1043.85224199,39,17,2748,4029,229,156
70,75,3,cover-and-generate,t*_cover,1,126520.217682,562,92,2748,4029,210505,169619
71,75,3,cover-and-generate,t_order,1,70319.2765379,536,87,2748,4029,210294,174472
72,75,3,cover-and-generate,t+_cover,1,112028.922888,546,87,2748,4029,210276,169308
73,91,2,generate-and-cover,t_cover,1,6.53901791573,3,0,34,38,18,0
74,91,2,generate-and-cover,t*_cover,1,210.741451979,15,0,34,38,240,0
75,91,2,generate-and-cover,t_order,1,101.540904045,15,0,34,38,224,0
76,91,2,generate-and-cover,t_order,2,101.540904045,15,0,34,38,224,0
77,91,2,generate-and-cover,t+_cover,1,157.914699078,12,0,34,38,222,0
78,91,2,cover-and-generate,t_cover,1,6.5844039917,2,0,34,38,18,0
79,91,2,cover-and-generate,t_cover,2,6.84036493301,2,0,34,38,18,0
80,91,2,cover-and-generate,t_cover,3,6.41468787193,2,0,34,38,18,0
81,91,2,cover-and-generate,t_cover,4,6.08806109428,2,0,34,38,18,0
82,91,2,cover-and-generate,t_cover,5,7.01654291153,2,0,34,38,18,0
83,91,2,cover-and-generate,t*_cover,1,101.152325869,5,0,34,38,240,0
84,91,2,cover-and-generate,t*_cover,2,111.373998165,4,0,34,38,240,0
85,91,2,cover-and-generate,t*_cover,3,103.419925928,5,0,34,38,240,0
86,91,2,cover-and-generate,t*_cover,4,108.3494699,4,0,34,38,240,0
87,91,2,cover-and-generate,t*_cover,5,109.52081418,5,0,34,38,240,0
88,91,2,cover-and-generate,t_order,1,12.7904279232,3,0,34,38,224,0
89,91,2,cover-and-generate,t_order,2,12.7864398956,3,0,34,38,224,0
90,91,2,cover-and-generate,t_order,3,12.2274260521,3,0,34,38,224,0
91,91,2,cover-and-generate,t_order,4,13.074999094,3,0,34,38,224,0
92,91,2,cover-and-generate,t_order,5,13.1981329918,3,0,34,38,224,0
93,91,2,cover-and-generate,t+_cover,1,96.265196085,3,0,34,38,222,0
94,91,2,cover-and-generate,t+_cover,2,95.7168319225,4,0,34,38,222,0
95,91,2,cover-and-generate,t+_cover,3,90.6800458431,3,0,34,38,222,0
96,91,2,cover-and-generate,t+_cover,4,102.15614295,3,0,34,38,222,0
97,91,2,cover-and-generate,t+_cover,5,95.6814219952,3,0,34,38,222,0
98,141,3,generate-and-cover,t_cover,1,13.405436039,8,0,40,47,24,0
99,141,3,generate-and-cover,t*_cover,1,273.784013033,17,15,40,47,3328,3326
100,141,3,generate-and-cover,t_order,1,74.1208291054,30,0,40,47,3307,0
101,141,3,generate-and-cover,t_order,2,74.1208291054,30,0,40,47,3307,0
102,141,3,generate-and-cover,t+_cover,1,257.907583952,11,11,40,47,3304,3304
103,141,3,cover-and-generate,t_cover,1,19.8252370358,5,4,40,47,24,22
104,141,3,cover-and-generate,t_cover,2,19.2949259281,5,4,40,47,24,22
105,141,3,cover-and-generate,t_cover,3,18.0216720104,5,4,40,47,24,22
106,141,3,cover-and-generate,t_cover,4,18.3114991188,5,4,40,47,24,22
107,141,3,cover-and-generate,t_cover,5,19.305519104,5,4,40,47,24,22
108,141,3,cover-and-generate,t*_cover,1,279.904912949,7,5,40,47,3328,3302
109,141,3,cover-and-generate,t*_cover,2,303.333273888,8,6,40,47,3328,3302
110,141,3,cover-and-generate,t*_cover,3,282.461720943,7,5,40,47,3328,3302
111,141,3,cover-and-generate,t*_cover,4,293.206727982,7,5,40,47,3328,3288
112,141,3,cover-and-generate,t*_cover,5,316.948857069,7,5,40,47,3328,3288
113,141,3,cover-and-generate,t_order,1,40.3594398499,4,4,40,47,3307,3307
114,141,3,cover-and-generate,t_order,2,38.8820550442,4,4,40,47,3307,3307
115,141,3,cover-and-generate,t_order,3,41.6828410625,4,4,40,47,3307,3307
116,141,3,cover-and-generate,t_order,4,38.7773399353,4,4,40,47,3307,3307
117,141,3,cover-and-generate,t_order,5,37.4205470085,4,4,40,47,3307,3307
118,141,3,cover-and-generate,t+_cover,1,146.408277035,4,4,40,47,3304,3304
119,141,3,cover-and-generate,t+_cover,2,247.145842075,4,4,40,47,3304,3304
120,141,3,cover-and-generate,t+_cover,3,244.58646512,4,4,40,47,3304,3304
121,141,3,cover-and-generate,t+_cover,4,264.84269309,5,4,40,47,3304,3299
122,141,3,cover-and-generate,t+_cover,5,248.109867096,5,4,40,47,3304,3303
123,38,3,generate-and-cover,t_cover,1,59.1586401463,21,0,91,137,66,0
124,38,3,generate-and-cover,t*_cover,1,3053.72650599,95,40,91,137,5183,4888
125,38,3,generate-and-cover,t_order,1,4244.66495895,98,0,91,137,5125,0
126,38,3,generate-and-cover,t_order,2,4244.66495895,98,0,91,137,5125,0
127,38,3,generate-and-cover,t+_cover,1,2555.15524793,84,30,91,137,5117,4802
128,38,3,cover-and-generate,t_cover,1,35.3045580387,9,4,91,137,66,50
129,38,3,cover-and-generate,t_cover,2,36.3146998882,9,4,91,137,66,50
130,38,3,cover-and-generate,t_cover,3,45.5635340214,10,5,91,137,66,50
131,38,3,cover-and-generate,t_cover,4,34.9238891602,9,4,91,137,66,50
132,38,3,cover-and-generate,t_cover,5,43.7105600834,10,5,91,137,66,53
133,38,3,cover-and-generate,t*_cover,1,608.732702017,22,8,91,137,5183,4481
134,38,3,cover-and-generate,t*_cover,2,717.899574041,23,8,91,137,5183,4329
135,38,3,cover-and-generate,t*_cover,3,599.463783026,24,9,91,137,5183,4533
136,38,3,cover-and-generate,t*_cover,4,588.784160137,21,8,91,137,5183,4444
137,38,3,cover-and-generate,t*_cover,5,581.073464155,23,10,91,137,5183,4759
138,38,3,cover-and-generate,t_order,1,161.404551983,18,7,91,137,5125,4637
139,38,3,cover-and-generate,t_order,2,186.472057819,20,7,91,137,5125,4481
140,38,3,cover-and-generate,t_order,3,168.896408081,18,7,91,137,5125,4722
141,38,3,cover-and-generate,t_order,4,241.060292959,19,7,91,137,5125,4431
142,38,3,cover-and-generate,t_order,5,190.944634914,20,6,91,137,5125,4399
143,38,3,cover-and-generate,t+_cover,1,420.777907133,18,8,91,137,5117,4620
144,38,3,cover-and-generate,t+_cover,2,481.225778103,17,7,91,137,5117,4468
145,38,3,cover-and-generate,t+_cover,3,444.043359041,16,7,91,137,5117,4462
146,38,3,cover-and-generate,t+_cover,4,436.527192116,17,7,91,137,5117,4448
147,38,3,cover-and-generate,t+_cover,5,665.006145,17,7,91,137,5117,4549
148,25,2,generate-and-cover,t_cover,1,16.3323588371,9,0,46,67,18,0
149,25,2,generate-and-cover,t*_cover,1,36.9580681324,12,0,46,67,86,0
150,25,2,generate-and-cover,t_order,1,20.0204060078,9,0,46,67,71,0
151,25,2,generate-and-cover,t_order,2,20.0204060078,9,0,46,67,71,0
152,25,2,generate-and-cover,t+_cover,1,59.9074389935,11,0,46,67,68,0
153,25,2,cover-and-generate,t_cover,1,9.74695110321,5,0,46,67,18,0
154,25,2,cover-and-generate,t_cover,2,9.29051494598,5,0,46,67,18,0
155,25,2,cover-and-generate,t_cover,3,10.6054098606,5,0,46,67,18,0
156,25,2,cover-and-generate,t_cover,4,9.89054203033,5,0,46,67,18,0
157,25,2,cover-and-generate,t_cover,5,9.64023399353,5,0,46,67,18,0
158,25,2,cover-and-generate,t*_cover,1,50.5221941471,8,0,46,67,86,0
159,25,2,cover-and-generate,t*_cover,2,52.2576160431,8,0,46,67,86,0
160,25,2,cover-and-generate,t*_cover,3,53.9955320358,8,0,46,67,86,0
161,25,2,cover-and-generate,t*_cover,4,50.4626719952,8,0,46,67,86,0
162,25,2,cover-and-generate,t*_cover,5,49.9955899715,9,0,46,67,86,0
163,25,2,cover-and-generate,t_order,1,16.1685979366,5,0,46,67,71,0
164,25,2,cover-and-generate,t_order,2,18.7432711124,5,0,46,67,71,0
165,25,2,cover-and-generate,t_order,3,16.6264841557,5,0,46,67,71,0
166,25,2,cover-and-generate,t_order,4,16.1666309834,5,0,46,67,71,0
167,25,2,cover-and-generate,t_order,5,15.1942749023,5,0,46,67,71,0
168,25,2,cover-and-generate,t+_cover,1,32.0137059689,5,0,46,67,68,0
169,25,2,cover-and-generate,t+_cover,2,26.7570810318,5,0,46,67,68,0
170,25,2,cover-and-generate,t+_cover,3,41.6094329357,5,0,46,67,68,0
171,25,2,cover-and-generate,t+_cover,4,41.6777820587,5,0,46,67,68,0
172,25,2,cover-and-generate,t+_cover,5,39.5298910141,5,0,46,67,68,0
173,146,4,cover-and-generate,t_cover,1,1.2742638588,4,0,44,66,6,0
174,146,4,cover-and-generate,t_cover,2,1.85764098167,4,0,44,66,6,0
175,146,4,cover-and-generate,t*_cover,1,109.469064951,11,0,44,66,1432,0
176,146,4,cover-and-generate,t_order,1,56.9808900356,9,0,44,66,1432,0
177,146,4,cover-and-generate,t+_cover,1,106.768272161,9,0,44,66,1426,0
178,76,2,generate-and-cover,t_cover,1,29.8640511036,12,0,102,135,48,0
179,76,2,generate-and-cover,t*_cover,1,425.602391005,44,0,102,135,796,0
180,76,2,generate-and-cover,t_order,1,199.660142183,43,0,102,135,761,0
181,76,2,generate-and-cover,t_order,2,199.660142183,43,0,102,135,761,0
182,76,2,generate-and-cover,t+_cover,1,436.812906981,49,0,102,135,748,0
183,76,2,cover-and-generate,t_cover,1,19.4462640285,8,0,102,135,48,0
184,76,2,cover-and-generate,t_cover,2,21.6236469746,7,0,102,135,48,0
185,76,2,cover-and-generate,t_cover,3,20.5624949932,7,0,102,135,48,0
186,76,2,cover-and-generate,t_cover,4,19.3771669865,7,0,102,135,48,0
187,76,2,cover-and-generate,t_cover,5,21.1663999557,7,0,102,135,48,0
188,76,2,cover-and-generate,t*_cover,1,539.200408936,26,0,102,135,796,0
189,76,2,cover-and-generate,t*_cover,2,382.315337896,26,0,102,135,796,0
190,76,2,cover-and-generate,t*_cover,3,429.966235876,25,0,102,135,796,0
191,76,2,cover-and-generate,t*_cover,4,400.86156106,25,0,102,135,796,0
192,76,2,cover-and-generate,t*_cover,5,371.415431023,25,0,102,135,796,0
193,76,2,cover-and-generate,t_order,1,89.1155600548,26,0,102,135,761,0
194,76,2,cover-and-generate,t_order,2,110.580153942,25,0,102,135,761,0
195,76,2,cover-and-generate,t_order,3,103.673058033,26,0,102,135,761,0
196,76,2,cover-and-generate,t_order,4,99.0342431068,25,0,102,135,761,0
197,76,2,cover-and-generate,t_order,5,102.477010012,28,0,102,135,761,0
198,76,2,cover-and-generate,t+_cover,1,381.507612228,25,0,102,135,748,0
199,76,2,cover-and-generate,t+_cover,2,350.559122086,24,0,102,135,748,0
200,76,2,cover-and-generate,t+_cover,3,401.32399106,26,0,102,135,748,0
201,76,2,cover-and-generate,t+_cover,4,367.535881996,24,0,102,135,748,0
202,76,2,cover-and-generate,t+_cover,5,352.159998894,24,0,102,135,748,0
203,103,2,generate-and-cover,t_cover,1,409.835263014,43,0,2177,4058,100,0
204,103,2,generate-and-cover,t*_cover,1,18223.285774,340,0,2177,4058,2216,0
205,103,2,generate-and-cover,t_order,1,19513.068074,343,0,2177,4058,2116,0
206,103,2,generate-and-cover,t+_cover,1,18159.9941139,328,0,2177,4058,2116,0
207,103,2,cover-and-generate,t_cover,1,186.867047071,14,0,2177,4058,100,0
208,103,2,cover-and-generate,t_cover,2,204.382473946,14,0,2177,4058,100,0
209,103,2,cover-and-generate,t_cover,3,197.435967922,14,0,2177,4058,100,0
210,103,2,cover-and-generate,t_cover,4,182.114263058,14,0,2177,4058,100,0
211,103,2,cover-and-generate,t_cover,5,190.432898998,14,0,2177,4058,100,0
212,103,2,cover-and-generate,t*_cover,1,4071.77505422,82,0,2177,4058,2216,0
213,103,2,cover-and-generate,t*_cover,2,4226.6094749,84,0,2177,4058,2216,0
214,103,2,cover-and-generate,t*_cover,3,4486.66492701,84,0,2177,4058,2216,0
215,103,2,cover-and-generate,t*_cover,4,4270.64968014,80,0,2177,4058,2216,0
216,103,2,cover-and-generate,t*_cover,5,4071.77505422,82,0,2177,4058,2216,0
217,103,2,cover-and-generate,t_order,1,1846.664644,82,0,2177,4058,2116,0
218,103,2,cover-and-generate,t_order,2,2007.06743908,81,0,2177,4058,2116,0
219,103,2,cover-and-generate,t_order,3,1818.46247506,82,0,2177,4058,2116,0
220,103,2,cover-and-generate,t_order,4,1796.75680709,79,0,2177,4058,2116,0
221,103,2,cover-and-generate,t_order,5,1876.23362613,81,0,2177,4058,2116,0
222,103,2,cover-and-generate,t+_cover,1,3947.89811516,81,0,2177,4058,2116,0
223,103,2,cover-and-generate,t+_cover,2,4112.23092699,76,0,2177,4058,2116,0
224,103,2,cover-and-generate,t+_cover,3,4474.82973385,79,0,2177,4058,2116,0
225,103,2,cover-and-generate,t+_cover,4,3992.40387988,79,0,2177,4058,2116,0
226,103,2,cover-and-generate,t+_cover,5,4227.9340961,81,0,2177,4058,2116,0
227,51,2,generate-and-cover,t_cover,1,36.7067801952,14,0,74,104,49,0
228,51,2,generate-and-cover,t*_cover,1,731.184926987,26,0,74,104,772,0
229,51,2,generate-and-cover,t_order,1,184.659111977,19,0,74,104,734,0
230,51,2,generate-and-cover,t_order,2,184.659111977,19,0,74,104,734,0
231,51,2,generate-and-cover,t+_cover,1,750.691909075,29,0,74,104,723,0
232,51,2,cover-and-generate,t_cover,1,37.0455110073,5,0,74,104,49,0
233,51,2,cover-and-generate,t_cover,2,38.4300179482,5,0,74,104,49,0
234,51,2,cover-and-generate,t_cover,3,36.6237170696,5,0,74,104,49,0
235,51,2,cover-and-generate,t_cover,4,35.9039359093,5,0,74,104,49,0
236,51,2,cover-and-generate,t_cover,5,34.3186321259,5,0,74,104,49,0
237,51,2,cover-and-generate,t*_cover,1,563.506509066,8,0,74,104,772,0
238,51,2,cover-and-generate,t*_cover,2,594.026947021,8,0,74,104,772,0
239,51,2,cover-and-generate,t*_cover,3,616.407161951,7,0,74,104,772,0
240,51,2,cover-and-generate,t*_cover,4,584.44956398,7,0,74,104,772,0
241,51,2,cover-and-generate,t*_cover,5,571.559190989,8,0,74,104,772,0
242,51,2,cover-and-generate,t_order,1,70.065666914,6,0,74,104,734,0
243,51,2,cover-and-generate,t_order,2,74.7584218979,6,0,74,104,734,0
244,51,2,cover-and-generate,t_order,3,76.7948958874,5,0,74,104,734,0
245,51,2,cover-and-generate,t_order,4,71.249671936,4,0,74,104,734,0
246,51,2,cover-and-generate,t_order,5,62.8677461147,5,0,74,104,734,0
247,51,2,cover-and-generate,t+_cover,1,569.808738947,5,0,74,104,723,0
248,51,2,cover-and-generate,t+_cover,2,477.843276024,4,0,74,104,723,0
249,51,2,cover-and-generate,t+_cover,3,555.50812602,6,0,74,104,723,0
250,51,2,cover-and-generate,t+_cover,4,555.199697018,4,0,74,104,723,0
251,51,2,cover-and-generate,t+_cover,5,579.713399887,6,0,74,104,723,0
252,6,2,generate-and-cover,t_cover,1,96.7923250198,25,0,476,702,59,0
253,6,2,generate-and-cover,t*_cover,1,1674.84620404,168,0,476,702,1355,0
254,6,2,generate-and-cover,t*_cover,2,1844.89520907,177,0,476,702,1355,0
255,6,2,generate-and-cover,t_order,1,1955.35461307,165,0,476,702,1296,0
256,6,2,generate-and-cover,t_order,2,1955.35461307,165,0,476,702,1296,0
257,6,2,generate-and-cover,t+_cover,1,1530.42219305,169,0,476,702,1296,0
258,6,2,generate-and-cover,t+_cover,2,2484.96275783,167,0,476,702,1296,0
259,6,2,cover-and-generate,t_cover,1,48.0942771435,11,0,476,702,59,0
260,6,2,cover-and-generate,t_cover,2,49.3205831051,11,0,476,702,59,0
261,6,2,cover-and-generate,t_cover,3,44.3405098915,11,0,476,702,59,0
262,6,2,cover-and-generate,t_cover,4,45.2905189991,11,0,476,702,59,0
263,6,2,cover-and-generate,t_cover,5,50.2075321674,11,0,476,702,59,0
264,6,2,cover-and-generate,t*_cover,1,1174.21133399,84,0,476,702,1355,0
265,6,2,cover-and-generate,t*_cover,2,1252.04467607,83,0,476,702,1355,0
266,6,2,cover-and-generate,t*_cover,3,1184.26404309,83,0,476,702,1355,0
267,6,2,cover-and-generate,t*_cover,4,1124.86653113,80,0,476,702,1355,0
268,6,2,cover-and-generate,t*_cover,5,1225.68665195,84,0,476,702,1355,0
269,6,2,cover-and-generate,t_order,1,473.795201063,80,0,476,702,1296,0
270,6,2,cover-and-generate,t_order,2,504.769720078,79,0,476,702,1296,0
271,6,2,cover-and-generate,t_order,3,466.381860971,80,0,476,702,1296,0
272,6,2,cover-and-generate,t_order,4,471.047372103,83,0,476,702,1296,0
273,6,2,cover-and-generate,t_order,5,484.998294115,80,0,476,702,1296,0
274,6,2,cover-and-generate,t+_cover,1,1342.74291801,81,0,476,702,1296,0
275,6,2,cover-and-generate,t+_cover,2,1169.18444395,79,0,476,702,1296,0
276,6,2,cover-and-generate,t+_cover,3,1140.76513219,84,0,476,702,1296,0
277,6,2,cover-and-generate,t+_cover,4,1140.76513219,84,0,476,702,1296,0
278,6,2,cover-and-generate,t+_cover,5,1155.03941798,81,0,476,702,1296,0
279,159,2,generate-and-cover,t_cover,1,164.675299883,28,0,490,730,63,0
280,159,2,generate-and-cover,t*_cover,1,1681.76596904,186,0,490,730,1507,0
281,159,2,generate-and-cover,t*_cover,2,2991.52610707,186,0,490,730,1507,0
282,159,2,generate-and-cover,t_order,1,1733.92769694,184,0,490,730,1444,0
283,159,2,generate-and-cover,t_order,2,1733.92769694,184,0,490,730,1444,0
284,159,2,generate-and-cover,t+_cover,1,2191.43393707,195,0,490,730,1444,0
285,159,2,generate-and-cover,t+_cover,2,1664.37452483,174,0,490,730,1444,0
286,159,2,cover-and-generate,t_cover,1,52.2555699348,12,0,490,730,63,0
287,159,2,cover-and-generate,t_cover,2,53.1186959743,11,0,490,730,63,0
288,159,2,cover-and-generate,t_cover,3,50.009116888,11,0,490,730,63,0
289,159,2,cover-and-generate,t_cover,4,47.9464671612,11,0,490,730,63,0
290,159,2,cover-and-generate,t_cover,5,61.5022819042,11,0,490,730,63,0
291,159,2,cover-and-generate,t*_cover,1,1364.53062797,71,0,490,730,1507,0
292,159,2,cover-and-generate,t*_cover,2,1398.15924597,72,0,490,730,1507,0
293,159,2,cover-and-generate,t*_cover,3,1335.97620487,72,0,490,730,1507,0
294,159,2,cover-and-generate,t*_cover,4,1279.313977,70,0,490,730,1507,0
295,159,2,cover-and-generate,t*_cover,5,1534.4717629,68,0,490,730,1507,0
296,159,2,cover-and-generate,t_order,1,518.077434063,68,0,490,730,1444,0
297,159,2,cover-and-generate,t_order,2,537.379707813,67,0,490,730,1444,0
298,159,2,cover-and-generate,t_order,3,513.370041847,70,0,490,730,1444,0
299,159,2,cover-and-generate,t_order,4,488.086362839,68,0,490,730,1444,0
300,159,2,cover-and-generate,t_order,5,590.059830904,69,0,490,730,1444,0
301,159,2,cover-and-generate,t+_cover,1,1454.2682929,69,0,490,730,1444,0
302,159,2,cover-and-generate,t+_cover,2,1304.27772307,69,0,490,730,1444,0
303,159,2,cover-and-generate,t+_cover,3,1608.28596878,69,0,490,730,1444,0
304,159,2,cover-and-generate,t+_cover,4,1454.2682929,69,0,490,730,1444,0
305,159,2,cover-and-generate,t+_cover,5,1336.60793996,72,0,490,730,1444,0
306,57,3,generate-and-cover,t_cover,1,45.3714168072,18,8,46,67,30,20
307,57,3,generate-and-cover,t*_cover,1,186.270936966,21,11,46,67,401,359
308,57,3,generate-and-cover,t_order,1,77.6516420841,14,0,46,67,373,0
309,57,3,generate-and-cover,t_order,2,77.6516420841,14,0,46,67,373,0
310,57,3,generate-and-cover,t+_cover,1,134.439942837,14,8,46,67,371,336
311,57,3,cover-and-generate,t_cover,1,33.6773920059,11,6,46,67,30,20
312,57,3,cover-and-generate,t_cover,2,27.4621789455,10,5,46,67,30,20
313,57,3,cover-and-generate,t_cover,3,31.8337650299,11,6,46,67,30,20
314,57,3,cover-and-generate,t_cover,4,31.3407001495,11,5,46,67,30,19
315,57,3,cover-and-generate,t_cover,5,31.4631278515,10,5,46,67,30,20
316,57,3,cover-and-generate,t*_cover,1,90.4116199017,13,8,46,67,401,362
317,57,3,cover-and-generate,t*_cover,2,139.894657135,14,8,46,67,401,343
318,57,3,cover-and-generate,t*_cover,3,119.779578924,14,9,46,67,401,388
319,57,3,cover-and-generate,t*_cover,4,147.626796961,14,8,46,67,401,358
320,57,3,cover-and-generate,t*_cover,5,113.567247868,14,8,46,67,401,377
321,57,3,cover-and-generate,t_order,1,38.7520499229,7,5,46,67,373,360
322,57,3,cover-and-generate,t_order,2,45.2536668777,8,5,46,67,373,344
323,57,3,cover-and-generate,t_order,3,42.181032896,8,5,46,67,373,344
324,57,3,cover-and-generate,t_order,4,54.002161026,8,6,46,67,373,345
325,57,3,cover-and-generate,t_order,5,55.7691819668,8,6,46,67,373,345
326,57,3,cover-and-generate,t+_cover,1,51.8485600948,8,5,46,67,371,342
327,57,3,cover-and-generate,t+_cover,2,72.4900710583,7,6,46,67,371,366
328,57,3,cover-and-generate,t+_cover,3,79.3749501705,8,5,46,67,371,342
329,57,3,cover-and-generate,t+_cover,4,79.9617159367,8,5,46,67,371,342
330,57,3,cover-and-generate,t+_cover,5,82.5749650002,8,5,46,67,371,342
331,54,3,generate-and-cover,t_cover,1,10.5548260212,9,0,26,34,27,0
332,54,3,generate-and-cover,t*_cover,1,177.304454803,22,20,26,34,695,689
333,54,3,generate-and-cover,t_order,1,101.391796112,23,0,26,34,684,0
334,54,3,generate-and-cover,t_order,2,101.391796112,23,0,26,34,684,0
335,54,3,generate-and-cover,t+_cover,1,145.553263903,18,16,26,34,668,662
336,54,3,cover-and-generate,t_cover,1,12.711386919,8,5,26,34,27,23
337,54,3,cover-and-generate,t_cover,2,11.0056579113,8,5,26,34,27,23
338,54,3,cover-and-generate,t_cover,3,18.4213619232,7,5,26,34,27,24
339,54,3,cover-and-generate,t_cover,4,12.9153459072,7,5,26,34,27,24
340,54,3,cover-and-generate,t_cover,5,21.4947469234,7,5,26,34,27,24
341,54,3,cover-and-generate,t*_cover,1,99.0729899406,16,14,26,34,695,689
342,54,3,cover-and-generate,t*_cover,2,92.8586199284,16,14,26,34,695,685
